price,z,table,depth,clarity,y,color,cut,carat,x
557,2.74,56.0,61.9,SI2,4.41,G,Ideal,0.33,4.45
557,2.78,58.0,63.0,SI2,4.4,F,Premium,0.33,4.42
557,2.76,58.0,62.8,VS1,4.38,J,Premium,0.33,4.41
557,2.72,61.0,61.5,VS1,4.39,J,Premium,0.33,4.46
557,2.75,55.0,62.1,VS1,4.41,J,Ideal,0.33,4.44
557,2.76,57.0,63.0,SI1,4.37,I,Ideal,0.33,4.39
557,2.81,53.0,63.6,SI1,4.4,I,Good,0.33,4.43
557,2.73,59.0,60.4,SI1,4.5,I,Premium,0.33,4.54
557,2.79,55.0,62.9,SI2,4.41,G,Ideal,0.33,4.46
558,2.88,57.0,61.5,SI2,4.7,H,Ideal,0.39,4.66
558,2.72,55.0,61.3,SI1,4.46,D,Ideal,0.32,4.41
558,2.47,59.0,61.2,VS1,4.02,F,Premium,0.25,4.05
558,2.56,57.0,63.6,VS1,4.01,F,Good,0.25,4.04
558,2.5,59.0,60.7,VS1,4.11,E,Premium,0.25,4.13
558,2.48,60.0,61.5,VS1,4.02,E,Premium,0.25,4.04
558,2.65,58.0,60.8,VS2,4.34,I,Premium,0.31,4.37
558,2.63,60.0,59.8,VS2,4.38,I,Premium,0.31,4.42
558,2.75,55.0,63.2,VS2,4.3,I,Very Good,0.31,4.4
558,2.7,57.0,62.3,VS2,4.32,I,Premium,0.31,4.35
558,2.61,60.0,58.7,SI1,4.43,H,Premium,0.31,4.47
558,2.71,58.0,62.7,SI1,4.31,H,Premium,0.31,4.34
558,2.7,56.0,61.7,SI2,4.35,E,Ideal,0.31,4.4
558,2.66,57.0,60.1,SI2,4.41,E,Ideal,0.31,4.44
558,2.67,55.0,61.3,SI2,4.34,E,Ideal,0.31,4.37
558,2.63,57.0,59.9,VS2,4.38,I,Ideal,0.31,4.4
558,2.65,60.0,59.9,VS2,4.41,I,Premium,0.31,4.44
558,2.67,58.0,61.1,VS2,4.36,I,Premium,0.31,4.38
558,2.63,61.0,60.7,VS2,4.32,I,Premium,0.31,4.34
558,2.73,54.0,63.1,VS2,4.31,I,Very Good,0.31,4.34
558,2.7,59.0,61.7,SI1,4.36,H,Premium,0.31,4.39
558,2.66,61.0,61.0,SI1,4.33,H,Premium,0.31,4.39
558,2.73,57.0,63.6,SI1,4.28,H,Good,0.31,4.31
558,2.7,57.0,62.4,SI1,4.31,H,Premium,0.31,4.35
558,2.7,58.0,62.8,SI1,4.28,H,Premium,0.31,4.32
558,2.7,56.0,62.9,SI1,4.27,H,Ideal,0.31,4.31
558,2.66,60.0,60.9,SI2,4.35,E,Premium,0.31,4.38
558,2.68,61.0,60.8,SI2,4.39,E,Premium,0.31,4.43
558,2.67,61.0,61.2,SI2,4.36,E,Premium,0.31,4.37
558,2.69,55.0,61.4,SI2,4.37,G,Ideal,0.31,4.39
559,2.66,56.0,62.0,VVS2,4.3,H,Very Good,0.3,4.28
559,2.72,56.0,62.6,VS2,4.37,G,Very Good,0.31,4.33
559,2.69,55.0,61.4,VS2,4.41,G,Very Good,0.31,4.38
559,2.67,57.0,60.9,VS2,4.39,G,Very Good,0.31,4.37
559,2.48,56.0,62.4,VVS1,3.99,G,Ideal,0.24,3.97
559,2.47,56.0,62.1,VVS1,4.0,G,Ideal,0.24,3.97
559,2.5,56.0,62.2,VVS1,4.04,G,Ideal,0.24,4.0
559,2.49,55.0,62.0,VVS1,4.03,G,Ideal,0.24,4.01
559,2.73,55.0,61.9,SI1,4.43,E,Ideal,0.32,4.4
559,2.7,56.0,61.0,SI1,4.45,E,Ideal,0.32,4.41
559,2.47,56.0,61.7,IF,4.01,G,Ideal,0.24,3.99
559,2.44,58.0,60.8,IF,4.05,G,Ideal,0.24,4.01
559,2.47,55.0,61.8,IF,4.02,G,Ideal,0.24,3.99
559,2.46,57.0,61.6,IF,4.02,G,Ideal,0.24,3.99
559,2.46,57.0,61.3,IF,4.03,G,Ideal,0.24,4.0
559,2.74,55.0,62.3,VS1,4.41,G,Ideal,0.32,4.39
559,2.74,55.0,61.8,VS1,4.45,G,Ideal,0.32,4.42
560,2.52,56.0,62.0,VVS2,4.08,E,Very Good,0.25,4.05
560,2.5,56.0,61.5,VVS1,4.08,E,Very Good,0.25,4.06
560,2.48,56.0,61.5,IF,4.06,F,Very Good,0.25,4.04
560,2.53,58.0,60.4,IF,4.2,F,Very Good,0.27,4.18
560,2.72,54.0,61.6,VS2,4.43,G,Ideal,0.32,4.4
560,2.83,56.0,61.6,SI1,4.62,F,Ideal,0.36,4.57
561,2.95,55.0,61.7,SI1,4.8,I,Ideal,0.41,4.77
561,2.68,58.0,60.2,VS1,4.47,H,Premium,0.32,4.43
561,2.71,57.0,61.5,VS1,4.42,H,Ideal,0.32,4.4
561,2.75,56.0,63.3,SI1,4.35,E,Good,0.32,4.34
561,2.67,58.0,60.5,VS2,4.42,G,Premium,0.32,4.41
561,2.97,59.0,63.7,SI2,4.69,H,Good,0.4,4.64
561,2.72,60.0,62.5,VS2,4.38,G,Premium,0.32,4.32
561,2.69,56.0,61.4,VS2,4.39,G,Ideal,0.32,4.37
561,2.69,59.0,59.8,VS2,4.52,G,Premium,0.32,4.48
561,2.68,59.0,60.7,VVS2,4.43,I,Premium,0.32,4.4
561,2.67,57.0,60.2,VS2,4.45,G,Very Good,0.32,4.42
561,2.77,54.0,63.3,VS2,4.39,G,Good,0.32,4.36
561,2.75,57.0,63.1,VS1,4.37,H,Good,0.32,4.34
561,2.66,57.0,59.8,VS2,4.46,G,Ideal,0.32,4.43
561,2.71,57.0,61.7,VS2,4.4,G,Ideal,0.32,4.38
561,2.72,58.0,62.3,VS1,4.39,H,Premium,0.32,4.34
561,2.73,57.0,63.0,VS1,4.35,H,Very Good,0.32,4.32
561,2.72,58.0,61.9,VS2,4.43,G,Premium,0.32,4.36
561,2.73,57.0,63.1,VS2,4.35,G,Good,0.32,4.3
561,2.71,57.0,61.8,VS2,4.4,G,Ideal,0.32,4.37
561,2.71,58.0,61.7,VS1,4.41,H,Very Good,0.32,4.37
561,2.72,58.0,61.7,VS1,4.44,H,Premium,0.32,4.38
561,2.67,60.0,60.1,SI1,4.47,E,Very Good,0.32,4.42
561,2.69,60.0,61.7,VS2,4.4,G,Premium,0.32,4.32
561,2.76,55.0,63.4,SI1,4.36,E,Good,0.32,4.35
561,2.74,58.0,62.6,VS2,4.39,G,Very Good,0.32,4.37
561,2.73,58.0,62.3,VS2,4.41,G,Premium,0.32,4.36
561,2.71,57.0,61.6,VS2,4.41,G,Ideal,0.32,4.39
561,2.73,55.0,61.9,VS1,4.42,H,Ideal,0.32,4.4
561,2.69,56.0,60.2,VS1,4.49,H,Ideal,0.32,4.44
561,2.76,56.0,63.2,SI1,4.38,E,Good,0.32,4.35
561,2.71,56.0,61.5,VVS2,4.42,I,Ideal,0.32,4.4
561,2.71,55.0,61.3,VS1,4.43,H,Ideal,0.32,4.41
561,2.71,59.0,61.0,VS2,4.46,G,Premium,0.32,4.42
561,2.67,60.0,61.3,VS1,4.38,H,Premium,0.32,4.33
561,2.75,54.0,62.6,VVS2,4.41,I,Ideal,0.32,4.37
561,2.71,56.0,61.6,SI1,4.41,E,Very Good,0.32,4.39
561,2.71,59.0,62.4,VS2,4.36,G,Very Good,0.32,4.33
561,2.76,56.0,63.1,SI1,4.39,E,Good,0.32,4.36
561,2.7,58.0,62.0,VS2,4.38,G,Premium,0.32,4.33
561,2.72,59.0,62.6,VS2,4.36,G,Premium,0.32,4.33
561,2.74,57.0,62.8,SI1,4.39,E,Very Good,0.32,4.34
561,2.67,59.0,60.5,VS1,4.42,H,Very Good,0.32,4.41
561,2.74,57.0,62.2,SI1,4.43,E,Very Good,0.32,4.38
561,2.68,60.0,60.6,VS1,4.44,H,Premium,0.32,4.4
561,2.68,57.0,60.3,VS2,4.46,G,Ideal,0.32,4.43
561,2.67,58.0,60.5,VS2,4.42,E,Very Good,0.32,4.4
561,2.76,54.0,62.9,VS1,4.41,H,Very Good,0.32,4.37
561,2.66,60.0,60.2,SI1,4.44,E,Premium,0.32,4.39
561,2.71,60.0,62.1,VS2,4.39,G,Premium,0.32,4.34
561,2.7,59.0,61.9,VVS2,4.38,I,Premium,0.32,4.35
561,2.73,58.0,62.4,VS1,4.4,H,Premium,0.32,4.35
561,2.69,58.0,61.5,VS2,4.4,G,Premium,0.32,4.35
561,2.73,56.0,61.9,SI1,4.43,E,Ideal,0.32,4.39
561,2.71,59.0,61.9,SI1,4.39,E,Premium,0.32,4.36
561,2.73,56.0,61.7,SI2,4.44,F,Ideal,0.32,4.41
561,2.73,57.0,62.0,VS2,4.41,G,Ideal,0.32,4.39
561,2.73,55.0,61.8,VS1,4.42,H,Ideal,0.32,4.41
561,2.71,57.0,61.5,VS2,4.41,G,Ideal,0.32,4.4
561,2.71,59.0,62.1,VVS2,4.38,I,Premium,0.32,4.35
561,2.74,57.0,63.0,VVS2,4.37,I,Very Good,0.32,4.33
561,2.72,58.0,62.8,VS2,4.35,G,Very Good,0.32,4.31
561,2.69,59.0,60.8,VS2,4.44,G,Premium,0.32,4.41
561,2.71,58.0,61.1,VS2,4.45,G,Premium,0.32,4.42
561,2.69,57.0,59.9,VS2,4.51,G,Very Good,0.32,4.47
561,2.74,58.0,62.8,VS1,4.37,H,Very Good,0.32,4.35
561,2.73,58.0,62.3,SI1,4.4,E,Premium,0.32,4.37
561,2.99,57.0,63.8,SI2,4.7,H,Good,0.4,4.67
561,2.67,58.0,60.7,VS2,4.42,G,Premium,0.32,4.38
561,2.74,55.0,61.8,SI1,4.45,E,Ideal,0.32,4.42
561,2.72,56.0,61.1,VS1,4.46,H,Ideal,0.32,4.44
561,2.75,56.0,62.5,VS2,4.42,G,Ideal,0.32,4.38
561,2.69,59.0,61.2,VS2,4.41,G,Premium,0.32,4.38
561,2.72,59.0,62.0,VS2,4.41,G,Very Good,0.32,4.37
562,2.54,58.0,61.3,VVS1,4.16,F,Very Good,0.26,4.13
562,2.7,55.0,61.7,VS2,4.39,G,Ideal,0.31,4.37
562,2.73,54.0,62.2,VS2,4.4,G,Ideal,0.31,4.38
562,2.67,56.0,60.8,VS2,4.4,G,Ideal,0.31,4.38
562,2.68,57.0,61.1,VS2,4.4,G,Ideal,0.31,4.37
562,2.7,53.0,62.0,VS1,4.37,H,Ideal,0.31,4.34
562,2.68,55.0,61.3,VS1,4.38,H,Ideal,0.31,4.36
562,2.88,59.0,62.4,SI2,4.65,H,Very Good,0.39,4.58
563,2.63,56.0,61.5,VVS1,4.3,F,Very Good,0.29,4.26
563,2.81,54.0,61.6,VS2,4.58,G,Ideal,0.35,4.55
563,2.68,55.0,61.6,SI1,4.37,G,Ideal,0.31,4.34
563,2.51,55.0,61.2,VS1,4.11,D,Fair,0.25,4.09
564,2.7,58.0,60.9,VS2,4.45,G,Very Good,0.32,4.42
564,2.73,55.0,61.8,VS2,4.43,G,Ideal,0.32,4.4
564,2.74,55.0,61.7,SI1,4.46,H,Ideal,0.33,4.43
564,2.72,56.0,60.6,SI1,4.49,H,Ideal,0.33,4.46
564,2.66,57.0,61.9,SI1,4.32,E,Ideal,0.3,4.29
564,2.68,57.0,62.3,SI1,4.32,E,Ideal,0.3,4.28
564,2.71,61.0,62.5,SI1,4.35,E,Good,0.32,4.32
564,2.59,56.0,63.6,VVS2,4.09,D,Good,0.26,4.06
564,2.55,55.0,62.5,VVS2,4.09,E,Ideal,0.26,4.07
564,2.46,61.0,58.9,VVS2,4.19,E,Very Good,0.26,4.16
564,2.51,61.0,60.8,VVS2,4.13,E,Very Good,0.26,4.12
564,2.53,61.0,61.7,VVS2,4.12,E,Very Good,0.26,4.08
564,2.57,57.0,63.3,VVS1,4.07,F,Good,0.26,4.05
565,2.84,56.0,61.8,SI2,4.61,G,Ideal,0.36,4.58
565,2.8,55.0,61.9,SI1,4.53,E,Ideal,0.34,4.51
565,2.8,55.0,62.6,SI1,4.49,E,Ideal,0.34,4.46
565,2.69,56.0,61.3,SI1,4.41,D,Ideal,0.31,4.36
565,2.71,55.0,61.7,SI1,4.41,D,Ideal,0.31,4.37
565,2.72,54.0,62.2,SI1,4.39,D,Ideal,0.31,4.36
565,2.57,55.0,63.4,VVS2,4.05,H,Very Good,0.26,4.06
565,2.49,61.0,59.8,VVS2,4.15,H,Premium,0.26,4.18
565,2.99,59.0,64.0,VS2,4.71,J,Good,0.41,4.64
565,2.7,55.0,62.2,VVS2,4.36,G,Ideal,0.31,4.32
565,2.72,55.0,63.4,VS1,4.32,G,Good,0.3,4.26
565,2.69,58.0,63.5,VS1,4.26,G,Good,0.3,4.21
565,2.69,59.0,63.4,VS2,4.25,F,Good,0.3,4.23
565,2.59,62.0,60.2,VS1,4.31,G,Very Good,0.3,4.3
565,2.72,56.0,63.3,VS1,4.31,G,Good,0.3,4.28
565,2.66,60.0,62.0,VS1,4.31,G,Very Good,0.3,4.27
565,2.69,57.0,62.4,VS2,4.33,F,Ideal,0.3,4.29
565,2.63,61.0,60.8,VS1,4.34,G,Very Good,0.3,4.31
566,2.53,58.0,60.1,VVS1,4.23,G,Very Good,0.27,4.21
566,2.6,55.0,62.9,VVS1,4.15,G,Very Good,0.27,4.12
566,2.59,56.0,62.5,VVS1,4.16,G,Very Good,0.27,4.14
566,2.57,56.0,61.0,VVS1,4.25,G,Very Good,0.27,4.21
566,2.56,57.0,60.8,IF,4.22,G,Very Good,0.27,4.2
566,2.54,57.0,60.8,VVS2,4.2,G,Ideal,0.27,4.18
566,2.88,57.0,62.8,SI2,4.59,G,Ideal,0.38,4.58
566,2.58,56.0,61.6,IF,4.21,H,Ideal,0.27,4.18
566,2.58,57.0,61.6,IF,4.21,G,Ideal,0.27,4.18
566,2.78,58.0,61.6,SI2,4.49,H,Premium,0.35,4.54
566,2.7,60.0,59.3,SI1,4.58,F,Premium,0.34,4.52
566,2.71,62.0,59.4,SI1,4.59,F,Very Good,0.34,4.54
566,2.83,54.0,63.0,SI1,4.5,F,Very Good,0.34,4.48
566,2.82,60.0,60.5,VS2,4.68,J,Very Good,0.38,4.64
566,2.72,58.0,59.8,SI1,4.57,F,Premium,0.34,4.53
405,2.63,58.0,61.2,SI1,4.31,I,Very Good,0.3,4.28
405,2.65,56.0,60.6,SI2,4.4,G,Ideal,0.3,4.35
406,2.61,59.0,59.3,VS2,4.42,I,Very Good,0.31,4.38
407,2.68,56.0,62.7,VS2,4.28,I,Very Good,0.3,4.27
407,2.63,56.0,60.7,VS2,4.34,I,Very Good,0.3,4.32
407,2.51,57.0,61.9,VS2,4.08,G,Very Good,0.25,4.05
407,2.55,54.0,63.0,VS2,4.06,G,Very Good,0.25,4.04
407,2.59,60.0,63.8,VS1,4.09,E,Very Good,0.27,4.03
407,2.58,57.0,61.2,SI1,4.23,E,Very Good,0.27,4.2
407,2.67,56.0,62.3,VS2,4.29,I,Ideal,0.3,4.28
407,2.7,55.0,62.4,VS2,4.34,I,Ideal,0.3,4.32
407,2.73,56.0,61.3,SI2,4.47,G,Ideal,0.32,4.44
407,2.66,58.0,62.0,SI1,4.33,H,Ideal,0.3,4.25
407,2.7,53.0,62.9,SI1,4.31,H,Ideal,0.3,4.28
407,2.53,57.0,62.3,SI1,4.09,G,Ideal,0.25,4.03
408,2.46,57.0,61.8,VS2,3.99,F,Ideal,0.24,3.97
408,2.65,56.0,60.0,SI2,4.43,H,Ideal,0.3,4.41
408,2.71,57.0,62.3,SI2,4.37,G,Very Good,0.31,4.33
408,2.73,55.0,63.2,SI2,4.33,G,Good,0.31,4.31
408,2.67,58.0,61.3,SI1,4.37,I,Premium,0.31,4.34
408,2.71,56.0,62.7,SI1,4.34,I,Ideal,0.31,4.3
408,2.65,60.0,60.7,VS1,4.39,J,Premium,0.31,4.34
408,2.68,61.0,61.4,SI1,4.39,I,Very Good,0.31,4.34
408,2.73,57.0,63.0,SI2,4.35,G,Very Good,0.31,4.32
408,2.73,56.0,63.5,SI1,4.32,I,Good,0.31,4.28
408,2.67,59.0,61.8,SI2,4.34,G,Very Good,0.31,4.3
408,2.67,59.0,61.8,VS1,4.33,J,Premium,0.31,4.31
408,2.68,59.0,61.5,SI1,4.37,I,Premium,0.31,4.35
408,2.74,58.0,63.0,SI2,4.36,F,Very Good,0.31,4.34
408,2.73,57.0,63.0,SI1,4.34,I,Very Good,0.31,4.32
566,2.79,56.0,62.8,SI1,4.46,F,Very Good,0.34,4.42
567,2.54,61.0,59.7,VVS2,4.27,E,Very Good,0.27,4.24
567,2.48,64.0,59.4,VVS2,4.19,E,Very Good,0.27,4.16
567,2.78,56.0,60.1,VS2,4.64,H,Very Good,0.35,4.61
567,2.52,61.0,59.4,IF,4.26,F,Very Good,0.27,4.23
567,2.74,54.5,62.2,VVS2,4.42,I,Ideal,0.32,4.38
567,2.71,54.9,62.0,VVS2,4.39,I,Ideal,0.32,4.36
567,2.7,54.0,62.5,VVS2,4.3,H,Ideal,0.3,4.3
567,2.7,54.0,62.6,VS2,4.33,F,Ideal,0.3,4.3
567,2.64,63.0,61.8,VS1,4.26,I,Very Good,0.3,4.29
567,2.62,61.0,61.6,VS1,4.23,I,Premium,0.3,4.28
567,2.54,61.0,59.6,VS2,4.25,F,Premium,0.28,4.28
567,2.53,61.0,59.6,VS2,4.23,D,Premium,0.27,4.26
567,2.99,56.0,64.0,VS1,4.69,J,Good,0.4,4.66
567,2.73,56.0,63.6,VS2,4.32,D,Good,0.31,4.26
567,2.77,55.0,63.1,SI1,4.4,D,Good,0.33,4.38
567,2.76,56.0,62.0,SI1,4.47,D,Ideal,0.33,4.44
568,2.63,57.0,60.3,VS2,4.39,F,Ideal,0.3,4.34
568,2.66,57.0,62.1,VS2,4.3,F,Ideal,0.3,4.27
568,2.87,55.0,61.3,SI2,4.69,F,Ideal,0.38,4.67
568,2.9,55.0,62.0,SI2,4.69,F,Ideal,0.38,4.67
568,2.87,56.0,60.9,SI2,4.74,F,Ideal,0.38,4.69
568,2.88,56.0,61.0,SI1,4.73,J,Ideal,0.39,4.71
568,2.68,55.0,61.2,SI1,4.4,F,Ideal,0.31,4.37
568,2.83,59.0,62.0,VS1,4.6,I,Premium,0.36,4.53
568,2.64,57.0,61.0,VS2,4.34,D,Very Good,0.3,4.32
568,2.87,55.0,63.7,VS2,4.52,H,Good,0.36,4.49
568,2.79,60.0,61.0,VS2,4.6,H,Very Good,0.36,4.55
568,2.8,59.0,60.9,VS2,4.62,H,Premium,0.36,4.58
568,2.69,57.0,63.0,VS1,4.29,E,Very Good,0.3,4.25
568,2.9,54.0,63.5,VS2,4.59,H,Good,0.36,4.55
568,2.77,57.0,60.5,VS1,4.59,I,Ideal,0.36,4.56
568,2.87,56.0,63.3,VS1,4.56,I,Good,0.36,4.51
568,2.84,55.0,62.1,VS2,4.58,H,Ideal,0.36,4.57
568,2.84,56.0,62.1,VS1,4.59,I,Ideal,0.36,4.55
568,2.7,58.0,63.1,VS2,4.3,D,Good,0.3,4.26
568,2.7,57.0,63.2,VS1,4.29,E,Good,0.3,4.26
568,2.76,62.0,60.0,VS2,4.62,H,Very Good,0.36,4.58
568,2.8,61.0,60.9,VS1,4.61,I,Very Good,0.36,4.58
568,2.78,60.0,60.3,VS1,4.64,I,Very Good,0.36,4.58
569,2.5,55.0,60.5,VVS2,4.16,E,Very Good,0.26,4.1
569,2.81,55.0,61.8,IF,4.56,J,Ideal,0.35,4.54
569,2.66,55.0,61.1,VS2,4.32,F,Ideal,0.3,4.37
569,2.64,58.0,62.3,VS2,4.23,F,Ideal,0.3,4.26
570,2.74,55.7,61.7,VVS1,4.45,I,Ideal,0.33,4.43
